feature,F_value,MI
ratio_general_goals_ratio,422.55775400624157,0.05296711520667041
ratio_strong_goals_ratio,335.9638461764983,0.04604033398727436
diff_general_goals_ratio,268.01101497736386,0.045200036994013315
ratio_home_goals_ratio,263.08962817423884,0.04223528621456185
diff_strong_goals_ratio,228.9042752239408,0.042228702630632275
ratio_general_average_throughput,324.6871782075863,0.04087879571099129
away_away_goals_ratio,260.338654237532,0.040632522687260364
ratio_general_goals_difference,223.85521225449781,0.04034772715665236
diff_general_average_throughput,233.56581406108734,0.0401602678973898
ratio_home_strong_goals_ratio,225.4346684180126,0.039562235703126
away_general_goals_ratio,216.16256997578984,0.0370919344878351
ratio_general_average_scoring,279.4244449032091,0.03639615119580353
home_strong_goals_ratio,208.46558561949917,0.035216349692979154
home_home_goals_ratio,320.3925504499914,0.034608418754218606
home_home_strong_goals_ratio,268.19464641930136,0.03439137905004319
ratio_general_points,91.59708831362656,0.03341341031579348
diff_home_goals_ratio,227.89453360361844,0.03239810461929182
ratio_strong_goals_difference,215.60141997748048,0.03169861376695193
diff_home_goals_difference,154.17817103506414,0.031258384972867814
diff_general_average_scoring,200.5559290384631,0.03110861061723158
home_general_itb35_points,28.792268554683016,0.030011195594259688
ratio_strong_points,84.5766463716456,0.02959946236356048
home_home_medium_goals_ratio,19.165805173089062,0.029268732169624334
ratio_home_goals_difference,166.01328834598277,0.0290203759148584
diff_home_strong_goals_ratio,201.76338895348735,0.028989251105196123
diff_home_victory_dry,98.58837360911113,0.0287987800246845
home_strong_goals_difference,128.7467177587176,0.028756972309117446
away_strong_goals_difference,122.51370819607087,0.02852501667540608
ratio_away_strong_games_wins,110.68145194241787,0.027659973645407288
ratio_away_strong_goals_ratio,179.74473832625208,0.027459154595751878
home_general_goals_ratio,242.8470237327059,0.027445499001095497
ratio_strong_average_throughput,214.6224595744671,0.02718395683280872
ratio_strong_average_scoring,170.53449502926725,0.027112716081472366
away_away_strong_goals_ratio,202.7215627425899,0.02704419337875863
ratio_home_average_scoring,131.4604507927699,0.026526186158659426
home_general_average_scoring,161.43339924221297,0.026442578585072596
ratio_home_strong_goals_difference,159.6396867290363,0.026216572112881975
ratio_away_goals_ratio,261.75345761644746,0.025668857401059064
ratio_strong_games_wins,100.87604417686754,0.02559794857286346
ratio_home_average_throughput,145.57150411114176,0.02539886939224001
ratio_home_strong_average_throughput,108.01372202176789,0.02506770387143975
away_away_games_draws,11.942167582244624,0.0250457102746533
ratio_away_strong_victory_dry,91.78557688471841,0.02501260434955399
home_home_strong_average_scoring,76.6840701087499,0.024910379759898404
diff_strong_average_throughput,172.61703656119715,0.02481425341667287
diff_away_strong_goals_ratio,109.21588456993663,0.02445299100410181
home_home_goals_difference,135.89556467462293,0.024278318848276248
home_home_strong_goals_difference,142.52802156316343,0.02406862447734115
diff_away_goals_ratio,137.63218927679026,0.024003031128050134
ratio_away_medium_tb45_points,8.375442691164706,0.023905130253657703
away_away_average_scoring,150.196371031419,0.023893709419455123
diff_strong_victory_dry,116.92964181390063,0.023852628225898842
away_strong_goals_ratio,179.728814515643,0.023798289446285148
diff_home_strong_games_wins,104.17307255489882,0.023650106799484538
diff_general_itb25_points,94.40993454466339,0.023627365792596278
away_general_games_draws,5.247853562917256,0.02289281556318623
ratio_home_medium_goals_difference,59.976256144791485,0.02269912086225423
diff_strong_itb_points,86.86898698341604,0.02255233927825362
ratio_away_goals_difference,123.92928120836042,0.022536717646680637
diff_home_strong_tm15_points,34.454614727187646,0.02239070662355158
ratio_home_strong_games_losses,18.040245217008888,0.022379238323865014
home_home_weak_points,4.883294200527749,0.02223656665732765
home_home_average_throughput,191.45118171823785,0.021923531969285426
diff_home_medium_games_wins,52.44393804981132,0.021763492012004892
ratio_home_strong_itb25_points,72.61155727314299,0.02167118120236089
home_away_itb25_points,18.792753558110025,0.021666964892152363
away_away_goals_difference,118.29786855348695,0.021396854315696157
diff_strong_average_scoring,144.92729501154838,0.021367860342406342
ratio_away_average_scoring,164.26418288753771,0.021359276967776175
home_home_strong_tm25_points,3.261208295743174,0.021082537256860157
