feature,F_value,MI
away_away_average_scoring,559.1939972192075,0.04345505764725033
diff_home_average_throughput,392.05390005425477,0.041513055215922634
home_home_average_throughput,675.7618790877202,0.03660721111274956
ratio_home_average_throughput,365.8545327182952,0.03642348453394728
away_away_strong_average_scoring,302.49819185399264,0.03635514339325674
away_general_average_scoring,416.1335546681922,0.03512234331805342
diff_home_medium_games_played,34.02542334507023,0.03431956002537806
diff_away_strong_games_losses,0.06814777478504361,0.0338945300646305
ratio_away_goals_ratio,387.9811176646658,0.0327611774767016
away_away_goals_ratio,406.43182816229756,0.03269285248643339
ratio_strong_average_throughput,262.9169778460841,0.03192836549682543
diff_home_strong_goals_ratio,242.00326538039673,0.030905449119345008
ratio_home_goals_ratio,339.9127714574333,0.03027570563506199
ratio_general_goals_ratio,504.04645518800925,0.030215803180926315
diff_strong_tb45_points,32.50324332251564,0.02991555043877181
away_away_strong_itb25_points,87.28483401782914,0.029447269459573988
diff_general_average_scoring,200.96810150662347,0.029348239074059812
diff_strong_average_throughput,277.9237248288691,0.029198300708358715
home_home_strong_average_throughput,413.16567003950775,0.029070929119280997
away_general_goals_ratio,298.7888958111876,0.028921575159528423
ratio_home_strong_goals_ratio,264.3088386994341,0.028596028140807306
away_away_tb_points,10.415174928247609,0.02848795130299031
ratio_strong_goals_ratio,412.59708666668604,0.02828098401232637
ratio_away_average_scoring,425.87780736216916,0.02824581573812779
away_general_goals_difference,179.14834661377665,0.028007787170136744
home_home_strong_tb15_points,0.27736381181539294,0.027196810482687184
ratio_away_medium_average_scoring,38.60493386660354,0.027017711730696448
away_away_strong_goals_ratio,345.93267075118445,0.026856830384289765
home_general_average_throughput,450.15250677561085,0.026070283161407914
away_home_strong_goals_ratio,77.3861781965309,0.025910972433730528
ratio_home_weak_itb35_points,45.197686172779356,0.025845135741861647
ratio_medium_overtime_wins,1.654214153055651,0.025401035108862047
home_away_weak_itb15_points,12.337928934581424,0.02528783262255274
diff_away_strong_points,121.53177332236051,0.02500696222383958
away_home_tb15_points,0.060931875034440426,0.024990016856868635
ratio_home_medium_itm35_points,18.289077967872927,0.024868274673995217
away_general_itm05_points,10.92734445183607,0.024720071844607894
ratio_medium_tm15_points,13.714357497753978,0.024373812583756482
diff_home_strong_goals_difference,160.59654509098584,0.024331648358752567
diff_home_medium_points,60.11232989416578,0.02431933063575631
diff_home_strong_average_throughput,312.5069207658163,0.024118768014519176
diff_home_medium_itb35_points,45.54490266490579,0.02406401148392945
away_away_goals_scored,29.48275530855243,0.023905602261002024
away_away_weak_goals_scored,0.1292854587615571,0.02363814871469927
ratio_home_strong_games_played,14.823264547514437,0.023610628965757385
home_home_strong_goals_conceded,17.627942776306927,0.023576174578717968
home_home_weak_tb55_points,13.96850689055526,0.023552877842847764
diff_away_itb15_points,116.45033012315474,0.023441543338243775
away_away_itm05_points,16.21473199875633,0.023221457200825135
away_away_medium_goals_difference,57.552376681037174,0.023178087358799004
ratio_away_medium_itb25_points,66.75022474507784,0.02266549740561352
home_home_goals_difference,170.80537576618872,0.022514252707325433
ratio_general_itm15_points,0.006413747223803234,0.022478145060788712
diff_general_itb_points,98.90064946961267,0.02247482466552775
home_medium_tm15_points,8.406197380281151,0.022430583373515667
ratio_strong_itb15_points,77.80841157747851,0.022393394980211312
away_away_strong_games_wins,60.19302405305454,0.022384296075686372
home_weak_itm55_points,10.049389687457555,0.022241653025574237
away_general_victory_dry,9.868731740291125,0.022226739529094708
away_home_strong_tb35_points,7.305379219451414,0.022221062396170055
home_home_medium_tb45_points,6.475996535130329,0.021947239727698964
ratio_home_weak_games_played,30.481887901870962,0.021884359003726317
home_general_goals_ratio,259.57572005075497,0.021765450888485027
ratio_weak_lossing_dry,2.1670398797217776,0.021755525229218975
ratio_away_strong_goals_ratio,285.68062199538804,0.021644537508526795
ratio_away_strong_average_throughput,55.593982804041765,0.021568175338169127
away_strong_tb45_points,17.1377821757732,0.021330927296497215
diff_strong_itm35_points,13.642840531636438,0.021289779358174776
ratio_home_weak_itb05_points,35.2206543370325,0.02120328842869057
ratio_general_itb15_points,82.3956037756931,0.02115998225367033
home_home_goals_ratio,399.90883990612537,0.021151946567662172
ratio_general_average_scoring,341.49664954938817,0.021142790526072375
diff_general_average_throughput,341.9500913155626,0.021130537393495352
diff_strong_goals_difference,200.7295694488797,0.021063464229169604
ratio_away_itb25_points,157.64357519875128,0.02103618127176521
away_away_itb55_points,60.277738042611304,0.020902853502700935
diff_away_weak_tb25_points,24.501110534402777,0.02084369893735971
away_home_weak_average_throughput,10.179650001368216,0.020840367812947846
diff_medium_average_scoring,44.18298918571714,0.020776447885258342
home_home_strong_oz_points,0.18594344856417352,0.020751695194078934
away_general_itb55_points,39.37613938053682,0.020742156382469012
ratio_medium_tm25_points,13.743001005069392,0.02069632230030738
ratio_home_games_losses,28.305018336535205,0.020543235103918533
away_away_weak_tb15_points,0.23990324512540728,0.0205130006351677
ratio_general_goals_difference,246.01773781107445,0.020455043257360472
home_general_tm_points,7.8585460640191815,0.0204404268597278
diff_home_goals_ratio,300.6184395818087,0.020330886661126257
home_away_weak_itb45_points,42.14812597372417,0.020238249220179583
away_away_medium_tm_points,1.1818603278990678,0.02019175316583688
diff_strong_goals_ratio,263.45953433800173,0.020148542985165108
ratio_weak_itm_points,2.316630542595562,0.020099102039431216
diff_strong_lossing_dry,1.349641916340697,0.02004512720756768
away_away_lossing_dry,16.50903696088135,0.019979790679348852
away_home_medium_tm45_points,0.27985542624674925,0.019978371291852426
diff_away_tm25_points,23.91454823600058,0.01993207300478428
