feature,F_value,MI
home_general_ozn_points,16.522281736778144,0.01703848013879594
ratio_away_itm_points,3.232770934982471,0.016403407975729367
ratio_away_oz_points,10.31254667446907,0.01609374575052036
diff_home_strong_itb55_points,0.04374647052779281,0.015601222874753518
ratio_general_goals_ratio,24.15169534449607,0.015355067398459932
home_general_itm05_points,9.312755423673632,0.015214945506181188
diff_general_tm25_points,0.13831380401330057,0.015135059381384153
home_home_goals_conceded,2.4205883015678857,0.015048746615067499
ratio_away_strong_itm35_points,0.13989711819616524,0.014725262801453143
home_away_strong_itb35_points,0.03224265565252843,0.014436532352642306
ratio_away_medium_itm15_points,1.4920473085262635,0.014338669321173558
away_away_itm45_points,4.630113532006243,0.014100584908890212
ratio_home_ozn_points,10.673872595334707,0.014079311645179615
diff_home_strong_points,0.6585037851138017,0.013920677501546352
ratio_general_tb45_points,0.45368877525781925,0.01391189044720531
home_away_itm05_points,3.241217186562574,0.013782096168663882
home_away_strong_itm25_points,1.4633769092757565,0.013766447113098934
ratio_home_medium_goals_conceded,2.056331355553594,0.013766338038171622
home_home_strong_oz_points,4.147805389723207,0.013761688264054106
home_away_medium_lossing_dry,3.597382387736855,0.013754161630263662
ratio_home_strong_goals_ratio,5.115866996138753,0.01367871522845654
home_home_strong_goals_ratio,5.855122328964245,0.01363882255268356
ratio_away_medium_goals_difference,0.00012396143784561126,0.01356404836410774
home_home_medium_victory_dry,9.831187861518861,0.013559112914280691
home_home_strong_overtime_losses,1.193588955368472,0.013400691132566367
diff_away_medium_itb25_points,0.6212577741363733,0.013237982995008224
away_general_goals_difference,4.097304586501116,0.013205348187006027
ratio_home_average_throughput,55.25565503561867,0.013167891882504223
away_away_strong_tm_points,13.536277668074334,0.013020498418826021
diff_home_strong_lossing_dry,3.434755078227306,0.012999345389036021
diff_away_weak_itb25_points,1.7505969892499673,0.01283830753198445
diff_away_strong_oz_points,4.668031463182078,0.012794232837142427
away_home_weak_average_scoring,0.4329954679071253,0.012674755354135536
away_medium_overtime_losses,0.10408632364804003,0.012573744936184461
ratio_home_strong_ozn_points,6.047702974452128,0.012505673889677826
home_away_weak_games_played,1.2371779772285216,0.012502061573700818
diff_strong_tb_points,0.5301209213447519,0.012487477355996424
home_away_weak_tb35_points,0.1665096077337932,0.01245039569679296
away_medium_overtime_wins,2.006849718294557,0.012448240152174161
diff_weak_itm_points,0.046151623154961983,0.012391428860073495
diff_home_strong_itm45_points,0.00014008715447368173,0.012380487065815515
diff_away_strong_itm45_points,0.008094985535579125,0.012350229525782241
away_strong_lossing_dry,26.23237926437869,0.012347724314168085
diff_home_weak_tb35_points,0.5311072050081498,0.012330339216573005
diff_away_strong_games_draws,0.8821600806538977,0.012327065774329071
away_away_strong_average_scoring,85.94572617595713,0.01229188827533001
ratio_away_medium_itb45_points,0.12430135746522672,0.012290893817201276
ratio_away_weak_tb25_points,1.70329699639029,0.012189266171218849
ratio_medium_tb15_points,0.046368854615776674,0.012163360175419191
ratio_home_medium_itm_points,0.009669410991137963,0.01209794305880929
away_home_medium_overtime_wins,1.773426845400693,0.012077718312902608
diff_medium_itb_points,0.9553953270234254,0.012048871566977537
diff_strong_itm05_points,0.152086197685189,0.012046735700635969
away_away_weak_goals_scored,2.4768209476845113,0.011944065482137667
home_home_weak_ozn_points,5.312801183627307,0.011890058067231202
away_away_strong_average_throughput,19.269270652566423,0.011883336551533397
away_away_strong_itm05_points,31.80688764557072,0.011846794673927352
away_strong_itm15_points,9.202051743514389,0.011780557841659212
home_home_itm05_points,18.072503035996164,0.01175304880775796
away_strong_tb25_points,0.4165718935689061,0.011727359834385886
home_strong_ozn_points,14.161999254969288,0.01172397839841599
ratio_medium_itb55_points,1.717589110133096,0.011721722264317114
home_away_strong_games_draws,3.0342089176690568,0.011688117195869152
home_home_strong_tb_points,0.35148831244181616,0.011657658586603503
diff_away_strong_victory_dry,0.41297220463996126,0.011502377242616602
diff_home_strong_itb45_points,0.07279351199734288,0.011455551314925705
home_home_tm_points,14.550694976785117,0.011327566989876026
diff_home_weak_itm25_points,0.03140641587561323,0.011315104811100873
ratio_home_medium_tb55_points,1.7733458666192252,0.011308515516000206
away_general_tm05_points,12.160659769295421,0.011301429020731835
away_strong_tm25_points,11.898606545029175,0.011261830133952655
away_away_tb15_points,0.6065704647945218,0.011189601726938392
ratio_general_victory_dry,1.6065134967759043,0.011083890653283301
home_home_ozn_points,31.418498515015578,0.011074227716647789
diff_strong_goals_ratio,23.29674314179707,0.011014720141375944
ratio_away_strong_goals_ratio,34.3437012344881,0.010962770921192355
home_away_tb15_points,2.49674795366379,0.010945072280314383
away_home_weak_itm05_points,0.2247055224070512,0.010935067630653217
home_home_strong_tm25_points,13.800404027309225,0.010878512290078524
home_general_average_throughput,74.23537955471076,0.010875022098486564
diff_away_tm15_points,1.1274604459333202,0.010849275290496507
ratio_strong_tb25_points,0.20229321604636719,0.010849183895286219
ratio_home_tm25_points,1.6186245439636955,0.010816495529916814
away_away_strong_tm25_points,13.536277668074334,0.010792177056044627
away_home_games_draws,6.040032289469583,0.010785169926126104
ratio_home_strong_tm35_points,0.03930695191387719,0.010767115194288746
diff_weak_tb_points,0.3577208813251324,0.010739291344918467
diff_weak_average_throughput,0.560866652628029,0.01068277130246087
diff_strong_itb45_points,0.16946361173042457,0.01062952535430206
home_medium_tm25_points,5.1066990908989895,0.010599646415973885
diff_general_average_scoring,13.531677716482678,0.010530287226616863
away_medium_itm_points,8.756199719932596,0.010518234912208824
home_home_tm15_points,22.996719455458127,0.010507438243249512
